age,income,loanamount,monthsemployed,interestrate
22,146291,226432,115,20.37
32,35135,132282,95,11.05
37,74761,181208,65,11.45
44,17312,208147,115,12.77
57,58851,204022,35,10.27
62,123345,221328,47,19.84
21,100274,128793,83,7.18
56,71233,137606,41,11.61
22,45018,168991,117,17.29
56,46534,78413,52,15.59
39,96613,45091,63,17.33
49,70479,11978,27,21.79
45,70612,231834,17,20.66
45,75338,240925,30,21.61
51,32777,16602,46,21.71
20,126757,242042,57,21.44
34,80623,125968,107,22.12
39,139585,177050,97,15.41
28,147584,203670,39,13.55
51,68899,42040,99,15.8
33,108462,150574,17,7.01
35,111536,88127,79,17.81
43,91003,230951,27,13.79
68,120272,161827,35,22.99
67,70125,82363,72,11.2
32,105544,103678,81,20.83
51,134416,20677,111,23.35
59,85194,99389,4,18.53
53,48802,113738,74,6.83
20,43014,196528,9,4.24
52,129543,240198,56,22.12
25,103846,235886,110,21.83
46,146502,101160,68,5.86
26,35260,9004,76,22.2
65,53364,216384,2,3.28
35,119894,17700,94,12.25
34,128255,193423,118,14.4
46,114459,223519,79,24.04
59,97429,106314,101,9.87
55,18667,113657,12,12.92
37,53983,113109,119,13.1
29,46078,69647,32,6.19
56,135805,32216,76,16.83
38,132104,227976,58,4.9
61,70654,45741,40,24.14
56,73668,232965,116,15.13
68,16334,246236,55,13.8
35,143531,123564,60,9.82
22,107595,60998,28,20.89
31,24975,185262,91,11.81
28,112136,223371,50,4.23
50,124735,90604,75,18.65
59,80679,135064,16,8.17
59,75883,48683,2,14.69
51,130490,108219,86,7.65
20,43349,63131,53,21.06
18,125371,96266,63,13.12
43,69856,86672,47,20.58
58,107118,114948,51,20.42
59,46304,111017,87,7.1
60,123276,119963,2,3.65
60,75792,122421,86,15.26
41,138679,11756,117,13.06
22,15394,207454,37,3.86
54,136698,100089,12,17.05
62,47709,247330,90,9.01
46,35868,179490,78,13.72
69,86077,158357,100,15.66
62,31946,123043,14,16.49
38,102955,82628,95,3.82
25,131440,52772,108,5.51
20,139085,115941,88,18.83
56,85057,77118,107,10.68
62,126903,249344,99,20.97
21,71289,74676,82,14.74
36,89086,109550,8,8.07
21,31055,128441,105,11.36
42,102053,223557,65,3.94
63,69061,238205,68,3.59
38,30651,178567,47,2.51
47,23992,144966,42,12.83
51,138986,120942,12,16.98
66,127704,197949,93,22.56
67,35100,159238,3,12.16
66,100444,214816,53,13.55
56,38844,203647,9,22.67
68,95605,237824,99,17.07
67,141773,55121,118,8.37
61,49979,113259,108,16.32
40,122609,159997,107,23.87
49,21907,61745,18,4.39
41,23567,98001,79,2.06
56,122246,157814,65,12.26
24,49795,194416,82,21.04
20,25609,185415,96,12.57
45,91445,123228,30,12.92
26,125540,107843,103,11.53
49,82250,200863,73,7.74
33,136402,96433,0,21.77
68,140042,184320,91,11.28
48,69477,238294,83,5.78
20,122234,180805,39,24.84
66,73290,178884,25,22.58
55,20020,102124,90,14.47
45,97133,108608,72,12.48
56,110382,114618,9,19.95
29,147615,165308,73,16.26
65,42355,233241,80,12.37
62,21019,184164,42,20.99
21,126824,12371,75,17.03
48,50225,45898,113,22.66
21,57358,149748,15,21.43
28,122990,43763,13,5.06
20,133892,110648,3,13.09
41,62256,159061,5,16.62
43,144673,139320,70,24.19
24,27889,165415,105,18.1
25,116458,69464,44,8.93
42,65066,23030,103,21.46
42,139645,96691,28,18.63
21,111924,151872,97,9.06
22,146885,102288,85,16.11
23,121003,28514,70,17.16
32,16448,172833,57,16.25
22,82857,27311,18,4.43
34,25719,215697,88,3.9
59,137606,219961,85,6.35
20,149858,242197,35,22.17
41,96842,48281,38,24.03
65,37595,194365,109,3.93
56,59395,208614,21,9.82
27,68731,8731,116,23.77
53,44917,239745,11,15.96
56,16392,23897,92,5.14
52,19296,130958,80,15.33
63,149931,141605,86,4.04
20,94459,67201,71,8.79
62,86651,185398,103,22.69
63,33517,17890,24,22.17
58,52712,119996,104,3.3
58,107281,184847,95,7.54
43,65141,160350,88,12.64
28,80771,76543,108,5.24
61,98641,90791,17,9.84
28,123236,176626,106,24.66
20,82188,86161,22,5.41
29,133731,104745,5,21.5
24,61970,210548,97,3.0
35,90863,239139,97,2.92
44,106172,59035,112,15.67
29,102656,130546,30,6.67
19,59150,202902,8,2.95
42,117736,48707,37,7.87
41,123603,126697,116,18.69
42,73615,98078,95,13.83
26,74700,122710,106,17.07
41,129863,103300,21,2.29
44,53408,126820,37,2.21
49,121365,46485,41,13.4
53,61427,109241,89,19.26
52,20874,198343,101,23.1
42,44498,11874,49,12.23
26,135670,169797,99,11.17
49,123408,180858,66,7.1
23,88171,62260,119,20.89
56,58831,97457,28,19.91
54,93012,14928,53,17.02
52,30731,92573,0,10.02
55,51400,99327,27,17.56
69,128970,57719,42,21.07
46,43515,228202,103,7.89
25,41139,91595,51,18.68
25,27750,98862,109,10.7
46,110941,105417,65,16.09
53,106590,112137,85,7.4
36,131107,177170,0,9.13
52,81865,20423,57,15.2
23,120257,35579,73,10.81
30,147057,237515,25,17.17
59,23521,154017,53,20.94
62,107467,139176,20,14.15
21,110078,155329,44,23.86
49,118429,124370,25,23.81
28,16128,234018,53,16.71
47,31340,212803,113,23.27
56,146963,247125,60,20.17
67,61225,179053,3,18.11
59,107308,50544,68,12.51
24,98343,130782,31,20.74
31,116668,31885,29,4.54
18,78439,116282,107,17.02
35,71408,94487,95,11.53
18,63182,208341,93,16.11
23,136288,173374,107,9.32
24,40269,9751,46,20.57
67,107625,107032,40,21.21
27,63227,52801,109,22.96
27,58835,121709,92,24.82
58,122950,122490,82,16.25
45,73222,38637,23,8.07
43,49366,89611,40,20.46
41,140143,91457,71,21.34
63,141641,68024,105,4.16
49,141420,45089,83,10.72
39,95453,8390,17,23.35
22,23648,114472,72,14.41
40,48448,92982,36,11.39
58,70615,93394,19,23.68
36,85910,161122,30,15.56
30,134726,94178,46,10.11
31,90616,137775,6,11.26
67,23162,150011,19,22.84
28,15805,72232,105,18.13
58,96376,79676,88,19.45
63,140659,79116,12,2.94
48,127287,42968,4,3.28
61,37248,31654,84,7.59
57,135865,67876,15,6.57
52,53781,181519,38,9.17
57,120115,122154,41,23.04
65,146049,69380,92,20.45
59,67858,89965,54,3.32
50,126495,196007,103,12.54
52,24913,65795,32,14.46
23,104594,146991,27,3.17
53,45664,225979,52,2.52
27,149549,59838,20,9.82
25,131609,217092,40,12.09
33,30583,142870,50,21.41
27,139655,207295,72,4.0
58,121951,242486,36,24.42
54,16960,197144,100,14.66
40,113057,118384,33,13.37
67,116485,182485,51,19.98
55,70331,101163,105,19.47
69,39856,146551,29,15.03
33,67563,99787,118,23.47
26,123572,22010,101,20.21
51,147957,78651,65,22.5
55,50614,184667,38,22.11
30,109200,120925,103,24.65
29,131081,212050,55,16.4
45,115850,94279,115,14.42
55,130798,217775,52,13.63
47,83831,234850,65,7.3
47,59590,233137,21,12.76
56,33428,90119,80,24.53
67,15006,112058,6,9.32
36,115857,226723,94,3.75
26,105202,130536,92,10.43
20,132902,232741,85,2.75
20,24769,115049,92,2.74
53,43532,135635,52,23.1
28,67593,221432,65,3.3
48,44010,79939,69,16.37
38,108897,56326,83,18.74
62,148266,213371,97,14.17
65,81877,46300,13,5.3
69,41273,24021,46,14.12
44,46118,147702,0,3.9
56,111643,194172,55,18.16
45,97874,183887,45,11.71
45,71768,238297,117,14.3
53,142420,58994,105,4.71
63,138783,164532,94,18.12
26,97002,128308,107,5.24
18,31934,205566,13,19.92
39,27870,243585,9,2.24
40,51898,44384,55,3.32
35,114770,63805,80,17.09
52,125165,110668,46,11.64
55,102250,115504,13,19.45
47,102188,43218,118,21.8
26,52225,100546,101,3.39
30,44820,124622,48,24.14
51,33994,74472,0,15.99
18,101139,241274,50,17.95
31,17593,88748,29,18.37
18,37450,145160,61,19.66
44,24241,205983,32,10.86
24,58043,126963,68,3.97
25,32781,181273,7,18.79
33,119442,55099,26,18.98
40,95537,49040,48,5.03
47,44377,16314,55,18.37
26,21812,105960,53,22.11
60,144997,161171,112,21.69
37,74673,194901,19,24.58
50,118949,114015,103,10.5
45,26335,192841,101,10.38
68,82315,34631,99,17.76
50,58084,239951,116,16.97
43,64792,154913,82,24.82
50,117999,87533,16,6.65
30,81283,152765,64,10.42
55,16155,120461,117,7.96
44,115926,239034,35,6.43
48,65890,128907,8,14.22
37,26765,143105,68,15.17
32,63260,43742,103,5.29
22,126726,140561,89,2.27
43,91092,25196,12,23.79
24,56166,58649,91,5.04
35,78232,79627,54,22.01
39,93370,217383,59,8.53
64,123774,118461,58,4.93
69,54493,230374,97,7.08
65,15498,90204,70,8.22
48,131657,122229,99,9.88
39,125491,167038,72,14.14
64,102307,81891,55,4.26
60,71811,180434,22,22.7
30,107628,20572,83,7.06
18,54902,96670,101,22.64
31,40033,67332,104,19.27
66,65943,12071,79,21.91
19,131476,13808,58,15.98
24,140924,217363,42,19.6
65,43379,80303,58,9.89
69,82677,100532,87,3.37
48,43057,107052,80,15.84
64,56629,62403,53,17.36
32,56685,82962,56,8.09
26,40766,203809,10,16.89
64,129169,217435,82,11.09
49,73280,50879,9,22.34
63,99693,12240,39,22.74
19,76970,246879,23,13.26
66,81893,200235,4,16.7
24,87263,53869,15,10.74
57,112398,155880,72,14.07
35,62205,26703,72,14.29
44,136116,157133,27,19.93
35,147248,40066,20,8.46
51,144794,94848,18,21.46
26,55986,115372,55,3.24
22,27977,231822,45,23.68
30,148500,62914,6,22.51
52,66741,117790,82,15.45
21,45514,163182,1,23.03
55,36591,21616,63,3.44
37,56456,121930,85,15.88
63,118278,224492,21,17.88
